Region,Year,Season,ACI_Combined_Seasonal_Smoothed,ACI_Combined_Seasonal_Unsmoothed,CDD_Seasonal_Smoothed,CDD_Seasonal_Unsmoothed,CDD_Seasonal_Unsmoothed_Unstandardized,Rx5Day_Seasonal_Smoothed,Rx5Day_Seasonal_Unsmoothed,Rx5Day_Seasonal_Unsmoothed_Unstandardized,Sea_Level_Seasonal_Smoothed,Sea_Level_Seasonal_Unsmoothed,Sea_Level_Seasonal_Unsmoothed_Unstandardized,T10_Seasonal_Smoothed,T10_Seasonal_Unsmoothed,T10_Seasonal_Unsmoothed_Unstandardized,T90_Seasonal_Smoothed,T90_Seasonal_Unsmoothed,T90_Seasonal_Unsmoothed_Unstandardized,WP90_Seasonal_Smoothed,WP90_Seasonal_Unsmoothed,WP90_Seasonal_Unsmoothed_Unstandardized
USC,1961,2,0.05,-0.01,0.84,0.64,37.22,-0.39,-0.28,32.95,-0.34,-0.34,7023.72,-0.24,0.28,10.71,-0.16,-0.88,7.66,0.1,0.58,10.63
ALA,1961,3,0.25,0.19,0.22,-0.27,33.89,0.04,1.2,40.63,1.37,1.37,7108.44,0.04,0.55,11.29,-0.12,-1.37,4.76,0.05,0.59,11.5
CAR,1961,3,-0.1,0.86,,,,0.07,0.34,29.22,,,,0.05,-1.18,6.46,-0.2,0.94,13.38,-0.22,0.98,11.5
CEA,1961,3,-0.29,-0.77,-0.26,-0.17,16.45,-0.15,-0.28,49.03,-0.85,-0.85,7003.99,-0.08,-0.28,9.07,-0.09,-0.88,6.1,-0.44,-1.91,5.7
CWP,1961,3,0.11,0.49,0.47,0.22,46.71,-0.5,-1.15,12.27,0.24,0.24,6948.0,-0.46,-2.45,2.42,0.18,2.72,20.02,-0.15,-1.58,4.82
MID,1961,3,0.06,-0.26,0.72,0.57,25.23,-0.12,-0.85,48.73,,,,-0.19,-0.14,9.39,-0.23,-0.56,6.7,-0.28,-0.62,8.3
NEA,1961,3,-0.29,-0.28,-0.1,2.0,18.63,-0.32,-1.06,39.36,-1.17,-1.17,6901.67,-0.24,-0.66,8.04,0.14,-0.3,8.83,-0.5,-1.37,7.36
NEF,1961,3,0.07,0.04,0.97,1.93,20.78,-0.33,-0.87,42.43,-0.28,-0.28,6914.8,-0.19,-0.46,8.49,-0.15,-0.62,7.6,0.02,-0.88,8.51
NPL,1961,3,0.23,0.65,-0.19,0.33,32.39,-0.53,-2.39,22.92,1.27,1.27,7428.33,-0.14,-1.4,5.31,-0.08,2.96,22.06,0.75,0.19,10.41
NWP,1961,3,0.41,1.31,0.78,1.32,26.81,0.25,0.78,39.27,-0.1,-0.1,7020.04,-0.17,-1.64,5.06,0.16,1.82,16.05,1.23,2.31,15.25
SEA,1961,3,-0.11,-0.46,-0.15,0.15,22.56,0.3,0.39,69.18,-0.94,-0.94,7009.28,-0.08,1.38,14.02,-0.16,-0.99,3.82,0.25,0.51,11.38
SPL,1961,3,-0.16,-0.53,0.48,-0.31,38.92,0.04,0.66,44.78,-1.41,-1.41,6955.0,-0.15,0.48,10.86,-0.22,-0.16,8.85,0.01,-1.81,5.46
SWP,1961,3,0.11,0.29,0.65,0.74,75.16,-0.53,-0.3,18.3,0.06,0.06,7035.46,-0.53,-1.3,6.26,0.21,1.2,13.04,-0.28,-0.7,7.09
CAN,1961,3,0.08,0.62,0.48,1.61,26.59,-0.44,-1.95,33.83,-0.09,-0.09,7005.27,-0.19,-1.5,6.57,-0.07,1.53,14.22,0.42,0.75,10.86
USA,1961,3,0.03,-0.33,0.75,0.44,40.88,-0.16,0.09,40.63,-0.43,-0.43,7017.88,-0.35,-0.02,9.56,-0.15,-0.27,8.72,-0.18,-1.21,8.01
USC,1961,3,0.06,0.06,0.77,0.67,37.29,-0.29,-0.65,38.9,-0.34,-0.34,7015.23,-0.31,-0.86,8.41,-0.12,0.5,10.82,0.06,-0.55,9.43
ALA,1961,4,0.29,0.16,0.25,-0.28,33.85,0.06,1.43,40.88,1.36,1.36,7170.04,-0.09,0.73,13.3,-0.14,-0.92,5.06,0.14,1.04,11.97
CAR,1961,4,-0.1,-0.5,,,,0.14,1.56,28.28,,,,0.07,1.7,17.47,-0.25,-1.22,6.2,-0.21,-0.63,8.49
CEA,1961,4,-0.24,0.44,-0.27,0.25,17.21,-0.18,-1.41,36.68,-0.86,-0.86,7035.99,-0.2,-1.36,5.21,0.06,2.85,22.37,-0.36,0.22,10.76
CWP,1961,4,0.13,-0.21,0.47,-0.05,44.76,-0.47,0.27,35.58,0.22,0.22,6940.8,-0.41,1.32,16.95,0.17,-1.03,5.97,-0.01,2.44,17.41
MID,1961,4,0.1,0.96,0.69,1.09,26.58,0.02,1.04,53.01,,,,-0.22,-0.58,7.69,-0.24,0.48,11.87,-0.21,1.62,15.36
NEA,1961,4,-0.22,0.47,0.01,2.38,19.26,-0.22,0.07,47.6,-1.17,-1.17,6921.67,-0.32,-1.24,4.2,0.24,2.67,20.98,-0.49,-1.58,5.88
NEF,1961,4,0.14,0.86,1.08,2.4,21.55,-0.28,-0.06,39.24,-0.29,-0.29,6763.13,-0.29,-1.18,5.48,-0.07,2.0,17.69,0.13,0.36,10.72
NPL,1961,4,0.23,0.15,-0.13,0.12,31.63,-0.52,-0.25,18.26,1.23,1.23,7371.67,-0.09,0.95,15.33,-0.11,-0.6,7.9,0.83,2.06,15.35
NWP,1961,4,0.42,0.15,0.81,0.97,26.0,0.29,0.84,54.89,-0.1,-0.1,6987.86,-0.16,1.23,16.23,0.12,-0.89,6.45,1.24,2.34,15.63
SEA,1961,4,-0.11,0.08,-0.24,0.6,23.47,0.24,-1.72,43.23,-0.92,-0.92,7093.69,-0.13,-0.46,8.1,-0.1,0.65,12.26,0.21,1.04,12.58
SPL,1961,4,-0.17,0.07,0.31,-0.2,39.29,0.16,0.45,38.95,-1.31,-1.31,7155.56,-0.08,0.9,13.4,-0.32,-1.08,6.98,0.07,2.03,14.72
SWP,1961,4,0.09,-0.42,0.59,0.65,74.48,-0.44,-0.3,21.41,0.08,0.08,7032.5,-0.46,1.72,16.47,0.11,-1.36,6.14,-0.23,1.41,15.84
CAN,1961,4,0.13,0.18,0.59,1.45,26.35,-0.36,0.22,36.82,-0.1,-0.1,6937.49,-0.21,0.52,11.85,-0.06,0.4,11.25,0.49,0.74,11.19
USA,1961,4,0.04,0.07,0.65,0.5,41.06,-0.05,-0.06,37.74,-0.41,-0.41,7066.18,-0.36,0.92,12.27,-0.19,-0.6,8.75,-0.09,2.41,14.16
USC,1961,4,0.09,0.14,0.69,0.71,37.36,-0.17,0.02,37.56,-0.33,-0.33,7039.08,-0.32,0.78,12.09,-0.14,-0.1,9.84,0.17,2.16,12.69
ALA,1962,1,0.28,-0.23,0.26,-0.41,33.3,0.01,0.5,22.82,1.37,1.37,7129.37,-0.09,0.95,16.16,-0.15,-0.32,8.44,0.11,-0.23,9.52
CAR,1962,1,-0.05,0.41,,,,0.29,2.69,18.26,,,,0.06,1.02,15.55,-0.26,-0.59,7.89,-0.16,0.56,11.65
CEA,1962,1,-0.24,-0.39,-0.28,0.44,17.56,-0.13,-0.14,37.16,-0.84,-0.84,6921.56,-0.18,-0.53,8.04,-0.02,-0.71,7.07,-0.34,-1.69,5.43
CWP,1962,1,0.13,-0.74,0.47,-0.23,43.5,-0.49,-1.09,35.99,0.22,0.22,7013.27,-0.42,1.44,17.92,0.19,0.05,10.13,-0.02,-0.55,7.99
MID,1962,1,0.09,0.06,0.65,1.3,27.14,0.06,0.16,25.68,,,,-0.15,0.2,11.22,-0.29,-0.53,8.05,-0.13,-0.45,8.88
NEA,1962,1,-0.16,-0.12,0.13,2.57,19.58,-0.23,-1.14,34.27,-1.09,-1.09,6951.67,-0.36,0.04,10.57,0.26,-0.57,8.23,-0.4,0.1,10.29
NEF,1962,1,0.17,-0.02,1.18,2.52,21.75,-0.2,0.09,26.33,-0.34,-0.34,6715.8,-0.25,0.26,11.32,-0.1,-1.02,7.15,0.24,-0.25,9.54
NPL,1962,1,0.25,0.21,-0.08,-0.12,30.79,-0.39,1.84,15.53,1.21,1.21,7340.0,-0.06,1.37,17.43,-0.11,-0.26,8.99,0.83,0.29,10.87
NWP,1962,1,0.42,0.0,0.82,0.58,25.09,0.36,1.55,54.01,-0.09,-0.09,7046.57,-0.2,0.82,15.36,0.14,-0.05,10.07,1.09,-0.61,8.72
SEA,1962,1,-0.13,0.36,-0.32,0.79,23.86,0.29,1.69,74.0,-0.88,-0.88,6923.77,-0.08,-0.65,7.3,-0.21,0.81,13.65,0.24,-1.06,7.96
SPL,1962,1,-0.2,-0.26,0.15,-0.08,39.65,0.14,-1.28,14.31,-1.27,-1.27,6864.67,0.0,0.95,14.34,-0.36,0.82,12.63,0.12,1.24,12.43
SWP,1962,1,0.09,0.06,0.53,0.61,74.2,-0.37,0.68,34.95,0.12,0.12,7038.04,-0.38,1.5,15.83,0.06,0.16,10.68,-0.19,0.66,12.54
CAN,1962,1,0.16,0.03,0.68,1.13,25.86,-0.25,1.39,30.32,-0.13,-0.13,6955.61,-0.21,1.04,14.31,-0.06,-0.57,8.38,0.52,0.28,10.5
USA,1962,1,0.02,-0.12,0.55,0.52,41.12,0.0,0.48,32.27,-0.38,-0.38,6973.54,-0.28,1.01,13.4,-0.26,0.23,10.65,-0.04,0.01,10.03
USC,1962,1,0.09,-0.08,0.61,0.67,37.28,-0.09,0.92,31.66,-0.31,-0.31,6969.77,-0.28,1.1,13.84,-0.18,-0.22,9.59,0.24,0.26,10.26
ALA,1962,2,0.26,-0.09,0.22,-0.78,31.73,0.09,0.11,19.88,1.31,1.31,7027.26,-0.02,0.38,12.83,-0.2,-0.65,5.86,0.11,0.82,12.29
CAR,1962,2,-0.09,-0.99,,,,0.18,-1.57,7.09,,,,0.11,0.42,12.17,-0.28,-0.99,6.32,-0.14,-1.0,7.52
CEA,1962,2,-0.25,-0.23,-0.3,0.17,17.08,-0.16,-1.03,36.69,-0.8,-0.8,7003.91,-0.13,-0.01,9.82,-0.01,0.46,11.78,-0.33,-0.8,8.12
CWP,1962,2,0.11,-0.3,0.45,-0.21,43.62,-0.51,0.19,31.93,0.15,0.15,6973.47,-0.32,0.52,11.32,0.18,-0.44,7.87,0.04,-0.55,8.78
MID,1962,2,0.08,0.18,0.62,0.91,26.12,-0.03,-0.75,38.36,,,,-0.14,-0.08,9.7,-0.23,0.63,12.75,-0.12,0.04,10.11
NEA,1962,2,-0.13,0.44,0.25,2.38,19.27,-0.2,-0.3,39.82,-1.07,-1.07,6935.0,-0.39,-0.24,8.93,0.28,0.08,10.51,-0.42,0.37,10.77
NEF,1962,2,0.19,0.03,1.25,1.96,20.82,-0.2,-0.67,29.87,-0.35,-0.35,7080.36,-0.25,-0.37,8.93,-0.09,0.0,10.26,0.25,-0.83,8.31
NPL,1962,2,0.24,-0.51,-0.04,-0.39,29.79,-0.36,-0.09,18.1,1.19,1.19,7243.33,-0.02,0.46,12.42,-0.14,-1.16,4.07,0.77,-1.75,5.96
NWP,1962,2,0.38,-0.75,0.81,0.1,23.96,0.38,-0.35,31.44,-0.15,-0.15,6936.2,-0.11,0.75,13.41,0.1,-1.08,5.57,1.04,-1.41,7.08
SEA,1962,2,-0.16,-0.14,-0.38,0.48,23.23,0.22,-0.46,58.39,-0.87,-0.87,6974.98,0.0,0.43,11.1,-0.15,1.2,13.35,0.22,-0.91,7.4
SPL,1962,2,-0.24,-0.23,0.05,0.04,40.02,-0.14,-0.99,31.63,-1.26,-1.26,6958.78,-0.01,-0.16,9.51,-0.29,-0.1,9.55,0.21,0.64,11.44
SWP,1962,2,0.05,-0.41,0.5,0.68,74.71,-0.47,-1.13,14.37,0.06,0.06,6945.19,-0.34,0.8,12.7,0.13,0.25,10.91,-0.23,-0.55,7.5
CAN,1962,2,0.16,-0.61,0.74,0.48,24.89,-0.22,-0.74,26.23,-0.16,-0.16,7000.37,-0.16,0.27,11.03,-0.08,-0.74,7.42,0.51,-1.66,7.58
USA,1962,2,-0.02,-0.32,0.47,0.45,40.92,-0.18,-1.22,31.98,-0.39,-0.39,6988.52,-0.22,0.47,11.01,-0.21,0.17,10.23,-0.02,-0.25,9.57
USC,1962,2,0.05,-0.59,0.56,0.49,36.89,-0.24,-1.27,30.31,-0.33,-0.33,6991.01,-0.22,0.38,10.97,-0.16,-0.33,9.13,0.24,-1.35,8.58
ALA,1962,3,0.26,0.33,0.13,-1.14,30.15,0.22,1.27,41.05,1.26,1.26,7068.63,0.0,-0.48,7.46,-0.27,0.45,11.34,0.2,0.02,10.07
CAR,1962,3,-0.06,0.47,,,,0.23,1.11,36.96,,,,0.04,-0.74,7.75,-0.29,0.13,10.66,-0.12,-0.1,9.86
CEA,1962,3,-0.26,-0.87,-0.33,-0.09,16.6,-0.13,-0.94,43.78,-0.76,-0.76,7027.29,-0.11,0.55,11.22,-0.09,-1.21,4.79,-0.35,-1.54,6.54
CWP,1962,3,0.08,-0.88,0.43,-0.19,43.75,-0.5,-1.14,12.29,0.08,0.08,6909.27,-0.26,1.4,13.55,0.18,-1.37,4.45,0.07,-0.25,9.19
MID,1962,3,0.03,-0.4,0.6,0.52,25.11,-0.1,-0.44,51.14,,,,-0.08,-0.08,9.56,-0.27,-1.01,4.34,-0.17,-1.17,6.76
NEA,1962,3,-0.09,-0.24,0.37,2.19,18.95,-0.08,0.53,52.61,-1.05,-1.05,6908.33,-0.36,1.23,13.6,0.27,-0.84,6.68,-0.41,-0.69,8.67
NEF,1962,3,0.13,-0.53,1.28,1.39,19.89,-0.3,-0.7,42.99,-0.39,-0.39,6743.8,-0.24,0.3,10.8,-0.11,-1.02,5.94,0.09,-1.67,7.16
NPL,1962,3,0.26,-0.08,-0.01,-0.67,28.79,-0.28,0.26,36.93,1.19,1.19,7410.0,-0.04,-0.22,9.23,-0.15,-1.21,5.32,0.79,-0.33,9.35
NWP,1962,3,0.39,0.07,0.79,-0.38,22.84,0.46,1.29,41.66,-0.19,-0.19,7000.88,-0.11,0.3,10.44,0.08,-1.04,6.61,1.12,1.31,13.0
SEA,1962,3,-0.19,-0.31,-0.4,0.17,22.59,0.21,-0.37,63.62,-0.9,-0.9,7037.21,-0.03,-0.8,7.01,-0.18,-0.39,6.85,0.12,-1.4,6.32
