Region,Year,Season,ACI_Combined_Seasonal_Smoothed,ACI_Combined_Seasonal_Unsmoothed,CDD_Seasonal_Smoothed,CDD_Seasonal_Unsmoothed,CDD_Seasonal_Unsmoothed_Unstandardized,Rx5Day_Seasonal_Smoothed,Rx5Day_Seasonal_Unsmoothed,Rx5Day_Seasonal_Unsmoothed_Unstandardized,Sea_Level_Seasonal_Smoothed,Sea_Level_Seasonal_Unsmoothed,Sea_Level_Seasonal_Unsmoothed_Unstandardized,T10_Seasonal_Smoothed,T10_Seasonal_Unsmoothed,T10_Seasonal_Unsmoothed_Unstandardized,T90_Seasonal_Smoothed,T90_Seasonal_Unsmoothed,T90_Seasonal_Unsmoothed_Unstandardized,WP90_Seasonal_Smoothed,WP90_Seasonal_Unsmoothed,WP90_Seasonal_Unsmoothed_Unstandardized
NPL,1968,3,-0.02,-0.46,0.28,0.3,32.29,-0.09,0.73,39.44,1.03,1.03,7373.33,0.38,2.37,17.83,-0.22,-1.34,4.77,-0.76,-1.07,7.84
NWP,1968,3,-0.23,-0.42,-0.75,-0.29,23.04,0.07,0.04,35.76,0.08,0.08,7055.07,0.17,0.03,9.69,-0.23,-1.01,6.72,-0.37,-2.03,5.43
SEA,1968,3,-0.05,-0.1,1.06,0.57,23.41,-0.04,-0.3,64.14,-1.04,-1.04,7019.95,0.26,0.02,9.64,-0.17,0.19,9.78,0.12,0.11,10.32
SPL,1968,3,-0.04,0.1,0.73,-0.21,39.23,-0.31,0.95,46.01,-0.92,-0.92,7017.78,0.12,1.48,13.21,-0.03,-1.04,5.81,0.41,2.5,16.32
SWP,1968,3,-0.05,0.13,0.17,-0.1,68.58,-0.11,0.8,21.62,-0.22,-0.22,7033.61,0.19,1.79,13.88,-0.26,-0.97,6.44,0.32,3.43,24.28
CAN,1968,3,-0.36,-0.56,-0.05,0.17,24.41,-0.21,0.72,40.92,-0.45,-0.45,6981.24,0.4,1.78,13.74,-0.25,-1.44,6.22,-0.8,-0.94,8.95
USA,1968,3,-0.15,0.34,0.39,0.12,40.03,-0.43,0.74,42.22,-0.75,-0.75,7035.12,0.36,1.13,11.2,-0.18,-0.25,8.78,0.42,2.75,14.58
USC,1968,3,-0.28,0.03,0.35,0.14,36.1,-0.44,1.05,41.87,-0.73,-0.73,7023.78,0.43,1.69,12.17,-0.25,-0.84,7.79,-0.2,1.65,11.79
ALA,1968,4,-0.16,-0.33,-1.07,0.13,35.65,0.05,-1.73,25.08,0.7,0.7,7274.53,0.16,-0.2,8.99,-0.32,-1.19,3.65,-0.13,-1.19,7.78
CAR,1968,4,-0.35,0.36,,,,0.07,0.98,24.55,,,,0.32,-1.15,5.29,-0.37,0.31,11.41,-0.78,-1.02,7.55
CEA,1968,4,-0.26,0.31,0.89,1.05,18.67,-0.68,-0.44,45.23,-0.93,-0.93,7036.7,0.39,-1.69,4.08,-0.17,-0.02,10.0,-0.28,0.14,10.49
CWP,1968,4,-0.08,0.05,0.07,-0.28,43.09,-0.45,0.19,34.86,0.01,0.01,7055.6,0.01,-0.4,7.61,-0.17,-0.76,6.98,0.09,-0.15,9.55
MID,1968,4,0.14,0.42,0.33,0.58,25.27,-0.14,-0.06,43.44,,,,0.36,-0.73,7.12,0.01,-0.3,8.98,0.88,1.11,13.7
NEA,1968,4,-0.43,0.43,-0.23,0.05,15.36,-0.52,0.13,48.01,-0.93,-0.93,7001.67,0.06,-1.48,3.09,-0.24,1.02,14.29,-0.62,-0.03,9.92
NEF,1968,4,-0.22,0.06,0.09,-0.07,17.47,-0.12,-0.69,36.32,-0.81,-0.81,6826.17,0.34,-1.8,3.14,-0.16,1.23,14.85,0.0,-1.73,6.62
NPL,1968,4,-0.04,0.2,0.29,0.36,32.5,-0.02,0.1,19.69,1.02,1.02,7463.33,0.39,-0.98,4.93,-0.37,0.01,10.26,-0.75,-1.47,6.21
NWP,1968,4,-0.27,-0.14,-0.74,-0.72,22.03,0.05,0.48,53.25,0.07,0.07,7102.11,0.18,-0.42,7.85,-0.34,-0.93,6.27,-0.46,-1.5,6.41
SEA,1968,4,-0.11,-0.42,0.94,0.52,23.31,-0.03,0.1,59.76,-1.06,-1.06,7054.51,0.32,0.65,12.3,-0.25,-1.09,5.06,0.08,0.05,10.15
SPL,1968,4,-0.07,-0.32,0.61,-1.42,35.41,-0.26,-0.24,33.88,-0.9,-0.9,7085.56,0.22,-0.21,9.39,-0.24,-0.78,7.77,0.57,1.23,12.86
SWP,1968,4,-0.08,-0.08,0.15,-0.18,67.95,-0.19,-1.47,14.56,-0.24,-0.24,7072.68,0.27,-0.23,8.94,-0.38,-0.92,7.34,0.48,2.14,18.86
CAN,1968,4,-0.37,0.17,-0.06,-0.03,24.11,-0.15,0.08,36.5,-0.42,-0.42,7032.18,0.38,-1.49,4.91,-0.39,0.45,11.38,-0.81,-1.89,7.02
USA,1968,4,-0.19,-0.18,0.33,-0.43,38.56,-0.4,-0.77,34.73,-0.75,-0.75,7085.05,0.44,-0.4,8.89,-0.41,-1.58,6.95,0.56,1.39,12.42
USC,1968,4,-0.31,-0.1,0.29,-0.39,34.93,-0.41,-0.71,35.2,-0.72,-0.72,7073.92,0.46,-1.04,7.16,-0.45,-0.62,8.86,-0.12,-0.22,9.74
ALA,1969,1,-0.21,-0.69,-1.02,0.36,36.62,-0.07,-1.64,15.02,0.65,0.65,7137.51,0.27,1.41,18.91,-0.38,-1.19,3.03,-0.16,-0.34,9.25
CAR,1969,1,-0.41,-1.07,,,,0.01,-1.03,6.87,,,,0.42,1.09,15.92,-0.43,-0.63,7.7,-0.81,-1.51,5.55
CEA,1969,1,-0.24,0.58,0.77,1.15,18.85,-0.68,0.11,38.73,-0.9,-0.9,6920.49,0.35,-0.59,7.78,-0.18,-1.02,5.83,-0.13,3.39,19.16
CWP,1969,1,-0.04,-0.15,0.07,-0.53,41.31,-0.38,-0.04,47.18,0.13,0.13,7249.6,0.09,1.38,17.59,-0.17,-1.26,4.52,0.17,0.51,11.8
MID,1969,1,0.18,0.84,0.28,0.63,25.38,0.03,1.82,36.21,,,,0.31,-0.71,6.52,-0.06,-1.14,5.71,0.97,2.2,15.64
NEA,1969,1,-0.38,0.73,-0.19,0.2,15.62,-0.48,0.39,43.76,-0.85,-0.85,7031.67,0.01,-1.61,4.14,-0.1,1.75,15.94,-0.65,-0.02,9.97
NEF,1969,1,-0.19,0.79,0.02,-0.04,17.53,0.0,1.6,30.88,-0.72,-0.72,6913.8,0.3,-1.25,5.79,-0.16,0.1,10.47,0.03,1.23,12.07
NPL,1969,1,-0.08,-0.47,0.28,0.37,32.54,0.08,0.95,13.92,0.97,0.97,7310.0,0.51,1.41,17.61,-0.47,-1.54,2.12,-0.83,-1.84,4.71
NWP,1969,1,-0.34,-1.27,-0.72,-0.8,21.84,-0.06,-1.76,34.9,0.15,0.15,7182.48,0.35,2.4,25.2,-0.43,-1.74,1.26,-0.61,-2.27,5.23
SEA,1969,1,-0.08,0.24,0.79,0.37,23.01,-0.02,0.19,58.66,-0.99,-0.99,6920.1,0.26,-0.33,8.75,-0.23,-1.05,5.09,0.22,2.41,14.69
SPL,1969,1,-0.05,0.02,0.45,-2.03,33.45,-0.17,1.19,24.45,-0.77,-0.77,6968.33,0.19,-0.37,8.45,-0.25,-0.96,7.08,0.62,1.54,13.01
SWP,1969,1,0.0,0.66,0.13,-0.23,67.6,-0.04,1.27,40.44,-0.17,-0.17,7093.21,0.24,0.36,11.3,-0.34,-0.28,8.73,0.65,2.72,20.44
CAN,1969,1,-0.39,-0.41,-0.08,-0.03,24.1,-0.14,-0.23,26.51,-0.33,-0.33,7097.06,0.48,0.94,13.94,-0.46,-1.1,6.59,-0.88,-1.5,7.28
USA,1969,1,-0.14,0.34,0.24,-0.67,37.9,-0.26,1.28,35.19,-0.69,-0.69,7005.81,0.43,0.25,10.94,-0.43,-1.53,6.1,0.73,3.31,14.7
USC,1969,1,-0.29,-0.01,0.21,-0.62,34.43,-0.26,1.19,32.32,-0.64,-0.64,7025.02,0.51,0.61,12.25,-0.51,-1.42,6.34,-0.05,1.02,11.02
ALA,1969,2,-0.15,0.32,-0.93,0.65,37.88,-0.15,-1.21,15.43,0.69,0.69,7055.48,0.11,-0.71,4.59,-0.27,0.82,14.69,-0.13,0.06,10.18
CAR,1969,2,-0.36,-0.14,,,,0.01,0.49,13.31,,,,0.28,-0.15,9.63,-0.35,-0.21,9.51,-0.8,-0.98,7.57
CEA,1969,2,-0.26,0.08,0.65,0.81,18.24,-0.66,-0.28,42.21,-0.85,-0.85,6989.56,0.36,0.08,10.09,-0.22,-0.31,8.8,-0.11,0.87,12.08
CWP,1969,2,0.01,-0.13,0.12,0.2,46.6,-0.38,-1.4,20.57,0.25,0.25,7035.87,-0.02,-0.14,9.0,-0.09,0.19,10.66,0.12,-0.9,8.0
MID,1969,2,0.1,-0.52,0.24,0.7,25.57,-0.07,-1.03,36.66,,,,0.38,0.78,12.56,-0.11,-0.5,7.95,0.8,-1.0,7.28
NEA,1969,2,-0.35,-0.28,-0.17,0.14,15.53,-0.47,-0.57,37.6,-0.71,-0.71,6965.0,0.03,0.65,12.95,-0.13,-0.93,5.87,-0.62,-0.21,9.57
NEF,1969,2,-0.22,-0.51,-0.01,0.52,18.45,-0.06,-0.74,29.56,-0.63,-0.63,7253.73,0.34,0.79,12.43,-0.23,-0.76,6.97,-0.1,-1.51,6.91
NPL,1969,2,-0.09,-0.13,0.28,0.29,32.25,-0.01,-0.81,16.24,0.99,0.99,7323.33,0.47,0.05,10.48,-0.45,-0.28,8.77,-0.88,-1.2,7.24
NWP,1969,2,-0.28,0.01,-0.66,-0.18,23.3,-0.09,-0.69,30.19,0.26,0.26,7000.63,0.22,-0.59,6.97,-0.34,0.41,11.74,-0.65,-0.46,9.06
SEA,1969,2,-0.14,-0.56,0.65,0.04,22.35,-0.09,-0.35,59.53,-0.96,-0.96,6960.08,0.35,1.02,12.78,-0.3,-1.08,6.05,0.23,0.08,10.26
SPL,1969,2,-0.1,-0.84,0.32,-1.48,35.21,-0.15,-0.08,35.25,-0.72,-0.72,7014.33,0.24,0.9,12.83,-0.29,-1.01,6.75,0.45,-1.19,7.36
SWP,1969,2,0.02,-0.23,0.1,-0.21,67.77,-0.01,0.04,21.42,-0.06,-0.06,6983.76,0.17,0.25,10.65,-0.31,-0.28,8.52,0.59,-0.83,6.21
CAN,1969,2,-0.38,-0.4,-0.06,0.35,24.68,-0.24,-1.3,25.05,-0.21,-0.21,7097.67,0.41,0.06,10.3,-0.44,-0.35,8.89,-0.93,-1.54,7.75
USA,1969,2,-0.15,-0.52,0.18,-0.33,38.82,-0.3,-0.79,33.45,-0.6,-0.6,6997.39,0.37,0.35,10.72,-0.42,-0.45,8.73,0.63,-0.89,8.42
USC,1969,2,-0.3,-0.61,0.15,-0.24,35.27,-0.32,-1.01,31.0,-0.53,-0.53,7018.5,0.43,0.17,10.42,-0.49,-0.44,8.82,-0.17,-1.82,8.09
ALA,1969,3,-0.14,0.02,-0.82,0.95,39.15,-0.16,-0.52,29.74,0.66,0.66,7060.35,0.25,2.43,18.27,-0.23,0.05,9.9,-0.02,1.3,13.33
CAR,1969,3,-0.37,-1.14,,,,0.06,-0.55,20.33,,,,0.4,3.17,19.28,-0.29,0.12,10.62,-0.83,-0.96,8.55
CEA,1969,3,-0.2,0.57,0.54,0.47,17.62,-0.52,1.47,63.0,-0.73,-0.73,7071.2,0.24,-0.57,8.3,-0.21,0.11,9.97,-0.06,0.27,10.66
CWP,1969,3,0.04,0.11,0.2,0.93,51.9,-0.43,-0.35,16.1,0.25,0.25,6945.2,-0.08,0.32,10.43,-0.02,0.19,10.41,0.13,0.01,10.04
MID,1969,3,0.09,0.39,0.2,0.77,25.76,0.0,0.75,58.23,,,,0.39,0.75,11.69,-0.16,-0.5,7.03,0.81,1.7,14.74
NEA,1969,3,-0.29,0.07,-0.15,0.09,15.44,-0.42,-0.05,47.77,-0.61,-0.61,6968.33,-0.09,-0.41,8.77,-0.09,-0.39,8.49,-0.55,0.17,10.35
NEF,1969,3,-0.19,0.44,0.01,1.08,19.37,0.0,1.17,49.03,-0.52,-0.52,6984.27,0.3,0.47,11.29,-0.21,-0.05,9.89,-0.14,0.22,10.4
NPL,1969,3,-0.1,-0.3,0.28,0.21,31.95,-0.01,-0.36,33.68,1.0,1.0,7370.0,0.54,1.6,15.26,-0.45,-0.6,7.75,-0.86,-0.4,9.21
NWP,1969,3,-0.27,0.12,-0.54,0.44,24.75,-0.12,1.03,40.45,0.26,0.26,7036.56,0.29,2.06,15.34,-0.25,0.56,11.88,-0.65,0.37,10.85
SEA,1969,3,-0.13,0.32,0.52,-0.28,21.68,-0.08,0.54,70.2,-0.87,-0.87,7054.41,0.33,-0.31,8.58,-0.28,0.67,12.23,0.27,0.87,12.32
SPL,1969,3,-0.12,-0.1,0.22,-0.92,36.97,-0.16,-0.35,40.46,-0.65,-0.65,6992.78,0.27,0.4,10.69,-0.28,1.09,13.18,0.42,0.47,11.21
SWP,1969,3,0.04,0.05,0.06,-0.18,67.95,0.03,0.19,19.8,0.0,0.0,7041.99,0.14,-0.34,8.63,-0.25,0.71,11.57,0.55,-0.5,7.92
CAN,1969,3,-0.35,-0.02,0.0,0.73,25.26,-0.21,0.63,40.7,-0.12,-0.12,7036.79,0.44,1.72,13.6,-0.4,-0.13,9.76,-0.95,-0.41,9.55
USA,1969,3,-0.13,0.22,0.13,0.01,39.75,-0.25,0.51,41.65,-0.49,-0.49,7047.62,0.4,1.04,11.08,-0.39,0.61,11.05,0.64,0.84,11.4
USC,1969,3,-0.27,0.13,0.12,0.14,36.1,-0.26,0.77,41.38,-0.42,-0.42,7045.34,0.47,1.59,12.03,-0.45,0.39,10.57,-0.18,0.44,10.48
ALA,1969,4,-0.12,0.43,-0.67,1.24,40.41,-0.22,-1.61,25.68,0.68,0.68,7220.8,0.28,-0.55,7.38,-0.15,1.9,19.64,-0.09,-0.58,8.92
CAR,1969,4,-0.4,-0.12,,,,-0.17,-1.36,9.37,,,,0.42,-0.34,8.76,-0.24,0.71,12.75,-0.77,-0.15,9.65
CEA,1969,4,-0.19,-0.14,0.43,0.13,17.0,-0.46,-0.26,46.86,-0.64,-0.64,7084.99,0.21,-0.03,9.7,-0.21,-0.41,8.33,-0.06,-1.14,6.1
CWP,1969,4,0.06,-0.07,0.33,1.66,57.19,-0.45,-0.94,24.82,0.29,0.29,7016.53,-0.09,0.08,10.21,0.0,-0.37,8.45,0.1,-0.78,7.66
MID,1969,4,0.08,-0.07,0.16,0.85,25.96,0.06,0.04,44.29,,,,0.38,0.21,10.68,-0.24,-0.93,6.64,0.79,-0.12,9.62
NEA,1969,4,-0.26,-0.04,-0.15,0.04,15.35,-0.33,1.27,55.68,-0.56,-0.56,6995.0,-0.07,0.61,12.93,-0.01,0.7,13.01,-0.59,-1.42,6.28
NEF,1969,4,-0.14,0.13,0.09,1.64,20.29,0.08,-0.21,38.54,-0.37,-0.37,6873.07,0.28,0.22,10.79,-0.19,0.04,10.44,-0.16,-0.72,8.6
NPL,1969,4,-0.08,0.47,0.29,0.13,31.66,0.05,1.54,25.56,0.98,0.98,7453.33,0.55,0.06,10.54,-0.42,0.03,10.36,-0.81,0.04,10.12
NWP,1969,4,-0.22,0.29,-0.37,1.06,26.2,-0.12,-0.33,49.61,0.32,0.32,7068.22,0.27,-0.41,7.9,-0.19,0.86,13.63,-0.66,-0.94,7.76
SEA,1969,4,-0.18,-0.5,0.4,-0.61,21.02,-0.21,-0.51,54.19,-0.85,-0.85,7101.82,0.32,0.34,11.1,-0.33,-1.19,4.67,0.2,0.03,10.08
SPL,1969,4,-0.14,-0.41,0.14,-0.37,38.74,-0.15,-0.17,34.43,-0.62,-0.62,7090.45,0.29,0.2,10.86,-0.31,-0.71,7.98,0.42,-0.14,9.68
SWP,1969,4,0.05,-0.24,0.01,-0.16,68.13,0.06,-0.08,22.73,0.07,0.07,7097.96,0.13,0.2,10.6,-0.26,-0.93,7.31,0.54,-0.43,8.24
CAN,1969,4,-0.28,0.45,0.1,1.11,25.83,-0.13,0.85,38.32,0.02,0.02,7026.73,0.43,-0.04,9.93,-0.33,0.56,11.68,-0.92,-0.64,9.0
USA,1969,4,-0.13,-0.11,0.1,0.36,40.67,-0.26,-0.64,35.3,-0.39,-0.39,7105.31,0.41,0.11,10.19,-0.4,-0.47,8.99,0.61,-0.61,8.97
USC,1969,4,-0.25,0.04,0.11,0.52,36.94,-0.25,-0.43,36.09,-0.28,-0.28,7088.76,0.47,0.02,10.05,-0.41,0.09,10.19,-0.18,-0.84,8.98
ALA,1970,1,-0.02,1.03,-0.51,1.42,41.17,-0.24,-0.99,17.39,0.76,0.76,7270.71,0.14,-1.18,3.3,-0.03,1.12,17.39,0.03,1.63,13.88
CAR,1970,1,-0.36,0.09,,,,-0.17,-0.59,8.23,,,,0.28,-1.07,5.01,-0.17,0.61,13.59,-0.82,-0.74,7.83
CEA,1970,1,-0.21,-0.06,0.33,-0.08,16.62,-0.42,0.81,43.17,-0.59,-0.59,6976.17,0.22,0.51,12.8,-0.29,-1.05,5.69,-0.04,0.0,10.0
CWP,1970,1,0.07,0.83,0.47,2.0,59.66,-0.53,0.35,51.36,0.32,0.32,7166.13,-0.12,-1.23,3.03,0.04,0.86,13.58,0.0,-0.18,9.31
MID,1970,1,0.02,-0.76,0.13,0.77,25.76,-0.02,-1.24,16.84,,,,0.35,0.11,10.78,-0.33,-1.54,4.18,0.69,-1.69,5.73
NEA,1970,1,-0.26,0.24,-0.15,0.24,15.69,-0.39,0.03,41.52,-0.45,-0.45,7045.0,-0.09,-0.66,7.84,0.05,1.1,13.75,-0.7,-1.41,6.2
NEF,1970,1,-0.13,-0.04,0.19,1.82,20.6,0.0,-0.26,25.25,-0.28,-0.28,6850.13,0.26,0.13,10.85,-0.22,-0.85,7.68,-0.23,-0.85,8.52
NPL,1970,1,-0.06,0.08,0.29,-0.04,31.05,-0.05,-1.14,10.14,1.0,1.0,7383.33,0.46,-0.82,5.93,-0.39,-0.4,8.24,-0.78,0.05,10.18
NWP,1970,1,-0.17,0.34,-0.19,1.43,27.07,-0.23,-0.89,39.9,0.35,0.35,7131.0,0.16,-1.05,3.71,-0.12,0.51,13.0,-0.65,-0.65,8.64
SEA,1970,1,-0.24,-0.63,0.3,-0.69,20.86,-0.2,0.4,60.78,-0.86,-0.86,6911.21,0.35,0.41,12.1,-0.47,-1.46,3.21,0.11,-0.64,8.77
SPL,1970,1,-0.18,-0.49,0.09,0.05,40.06,-0.17,0.13,20.11,-0.66,-0.66,6860.22,0.25,-0.82,6.44,-0.34,-0.56,8.34,0.24,-2.03,6.07
SWP,1970,1,0.04,0.21,-0.03,-0.01,69.27,0.02,-0.46,24.53,0.09,0.09,7060.05,0.08,-1.26,4.81,-0.23,1.04,14.48,0.45,-0.75,7.13
CAN,1970,1,-0.26,0.13,0.22,1.2,25.97,-0.26,-0.94,24.83,0.1,0.1,7053.63,0.33,-0.86,7.03,-0.29,-0.05,10.17,-0.97,-0.91,8.35
USA,1970,1,-0.14,0.09,0.09,0.65,41.45,-0.31,-0.29,29.48,-0.34,-0.34,7027.49,0.34,-0.93,7.15,-0.41,-0.09,9.84,0.48,-1.14,8.41
USC,1970,1,-0.26,0.0,0.12,0.8,37.56,-0.35,-0.59,27.93,-0.22,-0.22,7032.99,0.38,-0.94,7.1,-0.39,-0.07,10.0,-0.32,-1.65,8.38
ALA,1970,2,-0.01,0.73,-0.36,1.37,40.95,-0.33,-0.39,18.19,0.81,0.81,7073.3,0.09,-0.71,4.57,-0.06,0.69,13.9,-0.03,0.77,12.15
CAR,1970,2,-0.33,0.06,,,,0.03,1.63,16.75,,,,0.23,-0.4,8.54,-0.25,-0.78,7.19,-0.87,-0.98,7.56
CEA,1970,2,-0.16,-0.08,0.27,-0.04,16.7,-0.32,-0.06,43.91,-0.54,-0.54,7010.17,0.16,-0.87,7.39,-0.3,-0.53,7.91,0.06,-0.65,8.46
CWP,1970,2,0.08,-0.44,0.59,1.56,56.48,-0.53,-1.07,22.91,0.25,0.25,6905.67,-0.14,0.8,12.29,0.02,-1.0,5.4,0.04,0.28,10.64
MID,1970,2,0.04,0.12,0.12,0.4,24.8,0.01,0.6,46.44,,,,0.28,-0.13,9.54,-0.34,-0.23,9.12,0.69,-0.33,9.11
NEA,1970,2,-0.25,-0.13,-0.13,0.97,16.9,-0.35,-0.61,37.26,-0.39,-0.39,6961.67,-0.12,-0.74,6.62,0.04,-0.93,5.88,-0.81,-1.39,7.11
NEF,1970,2,-0.08,-0.08,0.26,1.26,19.66,0.07,-0.17,31.98,-0.17,-0.17,7188.07,0.21,-0.09,9.79,-0.23,-0.91,6.31,-0.2,-0.66,8.65
NPL,1970,2,-0.05,-0.2,0.25,-0.38,29.83,-0.04,0.1,18.59,0.99,0.99,7233.33,0.37,0.27,11.51,-0.4,-1.22,3.73,-0.71,-0.14,9.68
NWP,1970,2,-0.12,-0.01,-0.04,1.3,26.78,-0.21,-0.23,31.91,0.34,0.34,6911.74,0.07,-0.55,7.15,-0.16,-0.62,7.48,-0.62,0.46,10.98
SEA,1970,2,-0.23,-0.04,0.22,-0.28,21.7,-0.12,0.45,68.13,-0.78,-0.78,7008.45,0.31,-0.71,7.84,-0.53,-0.19,8.9,0.14,-0.89,7.46
SPL,1970,2,-0.17,-0.4,0.06,0.19,40.51,-0.13,0.4,37.13,-0.59,-0.59,7033.89,0.21,1.05,13.32,-0.37,-1.13,6.36,0.22,-0.7,8.46
SWP,1970,2,0.03,-0.44,-0.02,0.38,72.34,-0.01,-0.43,18.59,0.04,0.04,6954.17,0.05,0.69,12.28,-0.24,-0.93,5.61,0.45,-0.27,8.78
CAN,1970,2,-0.21,-0.3,0.27,0.71,25.23,-0.2,-0.26,27.23,0.19,0.19,7021.31,0.25,-0.2,9.36,-0.32,-1.07,6.14,-0.97,-0.9,8.69
USA,1970,2,-0.11,-0.08,0.12,0.83,41.95,-0.27,0.11,36.48,-0.29,-0.29,7004.27,0.27,0.12,10.16,-0.45,-0.72,8.06,0.48,-0.47,9.17
USC,1970,2,-0.22,-0.23,0.16,0.88,37.75,-0.29,0.02,33.76,-0.15,-0.15,7007.86,0.29,-0.08,9.76,-0.44,-1.03,7.27,-0.32,-1.02,8.93
ALA,1970,3,0.02,-0.04,-0.21,1.31,40.72,-0.35,-0.42,30.34,0.85,0.85,7090.37,0.03,0.51,11.14,-0.06,-1.58,4.0,-0.1,-0.32,9.2
CAR,1970,3,-0.34,-0.94,,,,0.0,-1.05,15.32,,,,0.22,0.2,10.53,-0.26,-1.56,4.98,-0.88,-0.94,8.59
CEA,1970,3,-0.12,0.17,0.23,0.01,16.78,-0.24,-0.18,49.84,-0.45,-0.45,7060.31,0.0,-0.87,7.52,-0.26,0.26,10.54,0.0,-0.11,9.77
CWP,1970,3,0.11,0.2,0.68,1.13,53.3,-0.58,-0.65,14.68,0.18,0.18,6904.27,-0.17,-0.17,9.02,0.13,1.44,15.15,0.11,0.21,10.71
MID,1970,3,0.06,0.2,0.13,0.03,23.84,0.03,-0.26,52.23,,,,0.25,-0.26,9.09,-0.28,0.44,11.98,0.66,0.52,11.47
NEA,1970,3,-0.19,0.5,-0.08,1.69,18.11,-0.25,0.33,50.97,-0.32,-0.32,6960.0,-0.18,-0.44,8.67,0.17,1.57,16.26,-0.86,-0.98,8.12
NEF,1970,3,-0.01,0.31,0.3,0.69,18.73,0.16,-0.06,45.05,-0.07,-0.07,6895.2,0.05,-0.89,7.2,-0.11,1.3,15.41,-0.25,-1.04,8.23
NPL,1970,3,-0.02,0.9,0.17,-0.72,28.61,0.02,2.14,46.9,0.97,0.97,7330.0,0.33,-1.17,6.06,-0.33,1.22,15.05,-0.64,0.94,11.93
NWP,1970,3,-0.11,-0.09,0.07,1.18,26.49,-0.18,-0.19,34.67,0.3,0.3,6979.52,0.07,0.47,10.92,-0.18,-0.52,8.34,-0.59,0.4,10.93
SEA,1970,3,-0.21,0.11,0.16,0.14,22.55,-0.12,0.5,69.92,-0.71,-0.71,7060.93,0.31,0.17,10.12,-0.49,-0.19,7.89,0.2,0.4,11.09
SPL,1970,3,-0.16,-0.13,0.05,0.33,40.96,-0.18,-1.49,35.54,-0.56,-0.56,7004.0,0.24,-0.33,8.98,-0.26,0.71,11.88,0.23,-0.31,9.24
SWP,1970,3,0.06,0.08,0.02,0.77,75.4,-0.06,0.19,19.78,-0.01,-0.01,7024.79,-0.07,-0.78,7.56,-0.11,0.61,11.25,0.43,-1.06,5.62
CAN,1970,3,-0.15,0.48,0.27,0.22,24.49,-0.09,1.57,43.17,0.24,0.24,6973.85,0.15,-0.8,8.09,-0.22,1.12,13.11,-0.98,-0.64,9.29
USA,1970,3,-0.06,0.12,0.18,1.02,42.45,-0.29,-0.77,38.52,-0.21,-0.21,7044.4,0.19,-0.34,9.1,-0.35,0.3,10.22,0.47,-0.44,9.28
USC,1970,3,-0.16,0.25,0.21,0.97,37.93,-0.28,-0.22,39.65,-0.07,-0.07,7029.55,0.19,-0.65,8.71,-0.32,0.72,11.33,-0.33,-0.68,9.29
ALA,1970,4,0.01,-0.29,-0.07,1.26,40.5,-0.36,0.25,34.97,0.82,0.82,7123.35,0.11,2.37,20.87,-0.08,0.03,9.96,-0.18,-0.72,8.65
CAR,1970,4,-0.33,-0.39,,,,-0.09,-1.2,10.4,,,,0.21,0.61,12.82,-0.22,-0.09,10.03,-0.81,0.33,10.8
CEA,1970,4,-0.08,0.32,0.22,0.06,16.86,-0.19,-0.13,48.01,-0.33,-0.33,7091.06,-0.07,-0.9,6.74,-0.18,1.3,15.69,-0.06,-1.13,6.14
CWP,1970,4,0.12,-0.01,0.76,0.69,50.12,-0.5,0.37,36.42,0.12,0.12,6995.27,-0.09,1.23,16.46,0.06,-0.84,6.67,0.2,1.33,14.05
MID,1970,4,0.06,0.18,0.16,-0.34,22.87,0.04,0.96,52.31,,,,0.24,-0.47,8.13,-0.26,0.05,10.25,0.6,-0.22,9.31
NEA,1970,4,-0.13,0.42,-0.01,2.41,19.32,-0.18,0.07,47.59,-0.27,-0.27,6998.67,-0.29,-0.66,6.96,0.26,0.62,12.69,-0.87,-1.11,7.1
NEF,1970,4,0.02,0.52,0.32,0.13,17.8,0.19,1.4,45.96,-0.06,-0.06,6902.27,-0.04,-0.95,6.36,-0.03,0.69,12.85,-0.33,-0.6,8.84
NPL,1970,4,-0.03,-0.24,0.05,-1.06,27.39,0.04,0.35,20.72,0.94,0.94,7390.0,0.31,0.5,12.91,-0.31,-0.84,6.99,-0.56,-0.08,9.82
NWP,1970,4,-0.14,-0.6,0.14,1.06,26.2,-0.24,-1.63,43.71,0.23,0.23,7008.59,0.14,1.44,17.3,-0.2,-0.49,8.09,-0.61,-0.43,8.98
SEA,1970,4,-0.2,0.23,0.13,0.56,23.39,-0.08,-0.3,56.13,-0.69,-0.69,7104.86,0.32,-0.34,8.54,-0.43,0.71,12.49,0.2,0.37,10.92
SPL,1970,4,-0.17,-0.19,0.06,0.47,41.42,-0.18,-0.24,33.88,-0.61,-0.61,7083.33,0.31,1.18,14.39,-0.29,-0.51,8.5,0.3,1.27,12.96
SWP,1970,4,0.04,-0.07,0.11,1.16,78.47,-0.08,0.4,25.55,-0.08,-0.08,7059.62,-0.01,1.19,14.43,-0.19,-0.99,7.15,0.45,0.78,13.24
CAN,1970,4,-0.15,-0.11,0.21,-0.27,23.75,-0.08,0.16,36.68,0.21,0.21,6998.58,0.12,0.36,11.32,-0.16,-0.1,9.98,-0.94,-0.22,9.66
USA,1970,4,-0.05,0.1,0.27,1.2,42.95,-0.26,0.25,39.05,-0.18,-0.18,7086.33,0.26,1.36,13.41,-0.36,-0.18,9.53,0.48,0.7,11.21
