Region,Year,Month,ACI_Combined_Monthly_Smoothed,ACI_Combined_Monthly_Unsmoothed,CDD_Monthly_Smoothed,CDD_Monthly_Unsmoothed,CDD_Monthly_Unsmoothed_Unstandardized,Rx5Day_Monthly_Smoothed,Rx5Day_Monthly_Unsmoothed,Rx5Day_Monthly_Unsmoothed_Unstandardized,Sea_Level_Monthly_Smoothed,Sea_Level_Monthly_Unsmoothed,Sea_Level_Monthly_Unsmoothed_Unstandardized,T10_Monthly_Smoothed,T10_Monthly_Unsmoothed,T10_Monthly_Unsmoothed_Unstandardized,T90_Monthly_Smoothed,T90_Monthly_Unsmoothed,T90_Monthly_Unsmoothed_Unstandardized,WP90_Monthly_Smoothed,WP90_Monthly_Unsmoothed,WP90_Monthly_Unsmoothed_Unstandardized
USA,1961.0,2.0,0.05,0.5,0.94,0.33,40.58,-0.25,0.77,33.81,-0.47,0.29,7013.48,-0.22,-1.54,2.71,-0.03,0.46,12.21,-0.09,-0.4,9.32
USC,1961.0,2.0,0.07,0.46,0.9,0.62,37.17,-0.31,1.3,33.1,-0.34,0.44,7024.13,-0.14,-1.22,3.82,-0.08,0.37,11.83,0.08,-1.21,7.54
ALA,1961.0,3.0,0.22,-0.04,0.15,-0.26,33.94,-0.03,-0.99,11.71,1.2,2.32,7190.22,0.03,1.24,23.14,-0.1,-0.73,3.32,0.11,0.68,12.77
CAR,1961.0,3.0,-0.09,-0.47,,,,0.13,1.32,14.96,,,,0.11,0.89,16.97,-0.22,-0.73,5.54,-0.16,-1.57,4.2
CEA,1961.0,3.0,-0.25,-0.07,-0.19,-0.72,15.44,-0.17,0.36,43.7,-0.78,0.85,7031.96,0.02,-0.43,8.12,-0.05,-0.35,7.85,-0.28,-0.99,6.2
CWP,1961.0,3.0,0.11,0.58,0.45,0.58,49.31,-0.3,-0.1,34.79,0.23,1.51,7186.8,-0.24,-0.99,3.16,0.06,-0.15,8.75,-0.05,0.65,12.63
MID,1961.0,3.0,0.11,0.49,0.75,-0.12,23.43,-0.07,1.07,43.62,,,,-0.13,-1.21,1.75,-0.1,-0.29,8.35,-0.18,0.58,12.04
NEA,1961.0,3.0,-0.3,-0.01,-0.25,1.5,17.8,-0.26,0.28,45.05,-0.97,0.4,6985.0,-0.04,0.29,11.97,-0.02,-1.14,3.49,-0.33,-0.82,6.4
NEF,1961.0,3.0,0.04,0.35,0.83,1.31,19.76,-0.19,0.63,32.56,-0.2,-0.14,6966.6,0.0,-0.66,6.8,-0.14,-0.44,7.48,-0.06,0.1,10.35
NPL,1961.0,3.0,0.18,0.3,-0.29,0.61,33.4,-0.2,-0.8,10.69,1.2,0.76,7220.0,-0.03,-0.98,1.82,-0.14,0.12,11.08,0.51,0.13,10.56
NWP,1961.0,3.0,0.29,0.28,0.7,1.78,27.89,0.11,-0.39,32.54,-0.05,0.52,7059.41,-0.05,-0.45,6.88,0.05,-0.03,9.79,0.88,-0.64,7.8
SEA,1961.0,3.0,-0.09,0.38,0.02,-0.45,21.34,0.11,0.84,76.31,-0.91,-0.16,6975.0,-0.17,-1.26,2.78,0.0,0.48,12.5,0.1,0.29,10.87
SPL,1961.0,3.0,-0.09,0.0,0.76,-0.46,38.43,-0.09,-0.22,22.83,-1.33,-0.67,6923.0,-0.16,-1.03,3.05,-0.05,0.08,10.47,0.01,0.22,10.62
SWP,1961.0,3.0,0.1,0.11,0.75,0.86,76.07,-0.38,-0.5,21.06,0.08,-0.4,6976.88,-0.28,-0.87,4.97,0.08,-0.43,6.5,-0.22,0.24,11.19
CAN,1961.0,3.0,0.04,0.18,0.31,1.83,26.92,-0.19,0.0,24.93,-0.03,0.26,7035.8,-0.01,-0.33,8.4,-0.14,-0.42,8.02,0.27,-0.91,7.76
USA,1961.0,3.0,0.06,0.38,0.91,0.35,40.64,-0.21,0.14,33.85,-0.43,0.91,7043.47,-0.25,-0.78,6.49,-0.03,-0.41,8.36,-0.1,0.52,11.14
USC,1961.0,3.0,0.07,0.22,0.88,0.63,37.19,-0.27,0.13,31.11,-0.31,0.75,7041.85,-0.17,-0.59,7.38,-0.07,-0.49,8.2,0.06,-0.33,9.46
ALA,1961.0,4.0,0.22,0.07,0.16,-0.26,33.93,0.0,1.17,25.63,1.2,0.75,7048.78,0.04,0.15,11.58,-0.1,-0.84,3.74,0.11,-0.22,9.07
CAR,1961.0,4.0,-0.1,-0.6,,,,0.13,-0.33,7.51,,,,0.13,1.75,20.79,-0.22,-0.59,7.03,-0.17,0.27,10.79
CEA,1961.0,4.0,-0.24,-0.05,-0.21,-0.59,15.69,-0.14,0.9,53.88,-0.76,0.54,7055.23,0.01,0.26,10.67,-0.06,-1.25,2.72,-0.27,0.36,11.8
CWP,1961.0,4.0,0.11,-0.06,0.46,0.49,48.66,-0.3,-0.92,19.84,0.23,-0.17,6955.2,-0.23,0.02,9.61,0.06,-0.2,8.35,-0.02,0.45,12.0
MID,1961.0,4.0,0.1,-0.43,0.74,0.05,23.88,-0.08,-0.28,40.97,,,,-0.14,0.97,14.65,-0.11,-1.28,2.13,-0.19,0.35,11.59
