Region,Year,Month,ACI_Combined_Monthly_Smoothed,ACI_Combined_Monthly_Unsmoothed,CDD_Monthly_Smoothed,CDD_Monthly_Unsmoothed,CDD_Monthly_Unsmoothed_Unstandardized,Rx5Day_Monthly_Smoothed,Rx5Day_Monthly_Unsmoothed,Rx5Day_Monthly_Unsmoothed_Unstandardized,Sea_Level_Monthly_Smoothed,Sea_Level_Monthly_Unsmoothed,Sea_Level_Monthly_Unsmoothed_Unstandardized,T10_Monthly_Smoothed,T10_Monthly_Unsmoothed,T10_Monthly_Unsmoothed_Unstandardized,T90_Monthly_Smoothed,T90_Monthly_Unsmoothed,T90_Monthly_Unsmoothed_Unstandardized,WP90_Monthly_Smoothed,WP90_Monthly_Unsmoothed,WP90_Monthly_Unsmoothed_Unstandardized
SEA,1963.0,1.0,-0.21,-0.44,-0.36,-0.03,22.21,0.03,-0.52,47.32,-0.84,-0.16,6936.85,0.0,1.17,18.76,-0.11,-0.17,8.54,-0.01,-0.61,8.03
SPL,1963.0,1.0,-0.22,-0.64,0.02,0.41,41.22,-0.09,-1.31,10.59,-1.18,-1.3,6840.67,0.02,2.34,27.17,-0.13,-0.18,9.2,0.1,0.89,13.12
SWP,1963.0,1.0,0.04,-0.48,0.55,0.79,75.55,-0.38,-0.07,28.61,-0.12,-0.44,7029.5,-0.15,2.41,24.65,0.17,-0.6,6.61,-0.13,-0.16,9.26
CAN,1963.0,1.0,0.14,0.05,0.76,-1.08,22.51,-0.06,0.95,30.61,-0.19,-1.4,6912.69,-0.08,0.82,15.24,-0.09,0.76,13.64,0.35,1.91,15.03
USA,1963.0,1.0,-0.05,-0.67,0.41,0.32,40.55,-0.18,-0.72,25.66,-0.44,-1.06,6957.39,-0.07,2.3,21.81,-0.13,0.31,11.01,-0.03,-0.58,8.72
USC,1963.0,1.0,0.01,-0.27,0.51,0.1,36.02,-0.21,-0.35,27.33,-0.38,-1.3,6947.98,-0.09,1.73,18.92,-0.13,0.61,12.16,0.15,1.08,11.85
ALA,1963.0,2.0,0.15,-0.07,-0.16,-1.55,28.39,0.21,-0.48,15.61,1.03,0.78,7190.11,0.02,-0.67,4.07,-0.23,0.56,15.05,0.05,-0.4,8.36
CAR,1963.0,2.0,0.05,0.91,,,,0.41,1.88,14.95,,,,0.0,-0.49,6.62,-0.19,0.83,15.93,-0.02,0.42,12.33
CEA,1963.0,2.0,-0.26,-1.19,-0.38,0.18,17.09,-0.12,-1.26,24.32,-0.67,-2.32,6831.27,0.03,2.13,25.91,-0.14,-0.97,2.1,-0.23,-0.64,7.48
CWP,1963.0,2.0,0.07,0.73,0.34,-0.23,43.45,-0.29,1.18,62.23,-0.01,-0.34,7058.67,-0.16,-1.06,0.95,0.19,2.76,27.68,0.04,-0.06,9.83
MID,1963.0,2.0,0.02,-0.8,0.55,0.13,24.09,-0.14,-1.9,8.41,,,,0.01,1.35,19.83,-0.18,-0.64,5.21,-0.12,-0.21,9.06
NEA,1963.0,2.0,-0.04,-0.14,0.6,1.47,17.74,0.01,-0.05,38.72,-0.89,-0.82,6935.0,-0.21,0.88,16.39,0.04,-0.86,2.68,-0.21,0.31,11.61
NEF,1963.0,2.0,0.07,-0.69,1.23,0.65,18.66,-0.32,-0.81,18.73,-0.41,-2.27,6573.6,-0.07,1.57,20.77,-0.14,-0.79,3.89,0.0,0.66,12.21
NPL,1963.0,2.0,0.24,0.27,0.02,-0.85,28.12,-0.15,0.8,13.59,1.11,0.89,7305.0,0.0,-0.5,6.3,-0.07,0.48,13.84,0.5,-0.22,8.87
NWP,1963.0,2.0,0.31,0.65,0.68,-1.12,21.07,0.41,2.16,55.34,-0.17,0.18,7084.49,-0.09,-0.79,3.11,0.08,2.34,26.25,0.74,-0.44,8.41
SEA,1963.0,2.0,-0.21,-0.71,-0.35,0.3,22.88,0.02,-1.15,37.84,-0.82,-1.2,6877.08,-0.03,1.42,19.23,-0.11,-0.92,3.4,-0.06,0.13,10.48
SPL,1963.0,2.0,-0.22,-0.21,0.03,0.47,41.42,-0.13,-1.04,13.65,-1.19,-2.07,6773.67,0.01,-0.23,8.7,-0.12,0.82,15.06,0.11,0.35,11.18
SWP,1963.0,2.0,0.04,0.97,0.56,0.73,75.05,-0.36,1.28,49.78,-0.13,0.39,7060.75,-0.15,-0.97,4.11,0.2,2.59,25.98,-0.15,-0.13,9.55
CAN,1963.0,2.0,0.14,-0.04,0.75,-0.93,22.73,-0.05,0.96,28.24,-0.23,-1.0,6929.28,-0.07,0.07,10.87,-0.08,0.47,12.87,0.36,0.32,11.09
USA,1963.0,2.0,-0.06,-0.06,0.42,0.37,40.71,-0.18,-0.29,27.79,-0.46,-1.12,6941.69,-0.08,0.09,10.51,-0.11,0.94,14.43,-0.08,-0.18,9.73
USC,1963.0,2.0,0.0,0.0,0.51,0.18,36.19,-0.2,0.04,27.94,-0.41,-1.12,6939.08,-0.09,0.08,10.67,-0.11,0.79,13.71,0.14,0.17,10.4
ALA,1963.0,3.0,0.15,0.43,-0.2,-1.45,28.82,0.27,3.1,41.0,1.02,-0.15,7040.0,0.03,0.21,12.64,-0.24,-0.06,9.32,0.08,1.38,15.64
CAR,1963.0,3.0,0.04,-0.67,,,,0.42,0.18,10.49,,,,0.03,1.06,18.24,-0.21,-0.7,5.73,-0.01,-1.11,5.92
CEA,1963.0,3.0,-0.27,-0.09,-0.37,0.53,17.73,-0.12,-0.37,38.13,-0.71,-0.57,6954.68,0.04,-1.33,4.0,-0.13,-0.4,7.5,-0.26,-1.04,6.01
CWP,1963.0,3.0,0.08,0.09,0.32,-0.26,43.2,-0.27,0.2,37.74,-0.03,-0.6,7011.0,-0.17,-0.57,5.89,0.21,-0.2,8.45,0.07,0.85,13.43
MID,1963.0,3.0,0.04,0.55,0.55,0.26,24.43,-0.11,0.42,37.7,,,,0.01,-1.1,2.54,-0.14,0.51,13.67,-0.07,0.48,11.71
NEA,1963.0,3.0,-0.05,-0.49,0.63,1.26,17.38,0.01,-0.62,34.88,-0.93,-1.89,6845.0,-0.18,0.08,10.76,0.0,-1.12,3.59,-0.21,-0.48,7.91
NEF,1963.0,3.0,0.07,-0.33,1.22,0.75,18.82,-0.29,-0.68,24.94,-0.45,-1.34,6743.8,-0.05,-0.71,6.53,-0.14,-0.42,7.6,0.01,-1.03,6.66
NPL,1963.0,3.0,0.24,0.17,0.02,-0.71,28.62,-0.17,-0.23,12.09,1.12,0.83,7230.0,0.0,-0.55,5.62,-0.05,0.44,13.43,0.52,0.18,10.78
NWP,1963.0,3.0,0.31,0.01,0.66,-1.1,21.13,0.44,0.48,37.44,-0.18,-0.96,6950.21,-0.08,0.02,10.28,0.09,-0.14,9.06,0.79,1.78,16.16
SEA,1963.0,3.0,-0.2,0.3,-0.32,0.63,23.54,0.03,0.13,65.63,-0.84,-1.64,6869.31,-0.05,-1.28,2.64,-0.07,1.0,15.47,-0.03,0.41,11.24
SPL,1963.0,3.0,-0.2,-0.05,0.04,0.54,41.62,-0.15,-1.2,15.03,-1.19,-1.26,6868.0,-0.02,-1.11,2.46,-0.08,0.91,14.96,0.14,-0.38,8.95
SWP,1963.0,3.0,0.05,0.01,0.57,0.66,74.55,-0.38,-0.44,21.71,-0.17,-0.61,6966.25,-0.17,-0.42,7.39,0.21,-0.46,6.26,-0.12,0.51,12.54
CAN,1963.0,3.0,0.14,-0.54,0.74,-0.78,22.96,-0.02,-0.33,23.82,-0.26,-1.37,6896.62,-0.06,-0.07,9.95,-0.08,-0.31,8.61,0.38,-0.52,8.71
USA,1963.0,3.0,-0.05,0.21,0.42,0.43,40.87,-0.18,-0.09,32.68,-0.49,-1.18,6950.88,-0.09,-1.04,5.3,-0.08,0.37,11.41,-0.04,0.7,11.53
USC,1963.0,3.0,0.01,-0.1,0.51,0.26,36.37,-0.2,-0.17,29.95,-0.44,-1.35,6939.46,-0.09,-0.57,7.48,-0.09,0.0,10.09,0.18,0.07,10.13
ALA,1963.0,4.0,0.14,-0.03,-0.24,-1.35,29.25,0.3,1.38,26.72,1.01,0.89,7058.22,0.06,0.55,15.33,-0.27,-0.64,5.11,0.08,0.12,10.52
CAR,1963.0,4.0,0.04,0.02,,,,0.39,-1.02,2.21,,,,0.03,-0.49,7.37,-0.2,0.38,12.45,0.0,0.23,10.65
CEA,1963.0,4.0,-0.27,-0.05,-0.35,0.88,18.37,-0.15,-1.61,27.03,-0.73,-0.72,6964.39,0.04,-0.79,6.51,-0.14,-0.48,7.16,-0.24,0.85,14.17
CWP,1963.0,4.0,0.07,0.08,0.31,-0.3,42.94,-0.26,1.24,43.02,-0.03,1.09,7050.6,-0.15,0.57,12.98,0.21,-0.73,4.48,0.05,-0.29,8.77
MID,1963.0,4.0,0.05,0.27,0.54,0.39,24.77,-0.11,-0.82,36.49,,,,0.0,-0.97,4.82,-0.13,0.72,14.5,-0.07,0.1,10.46
NEA,1963.0,4.0,-0.05,0.47,0.67,1.05,17.03,0.02,0.94,50.51,-0.93,-0.02,6935.0,-0.16,-0.16,8.98,-0.03,-0.56,6.28,-0.18,1.24,14.74
NEF,1963.0,4.0,0.06,0.28,1.21,0.85,18.98,-0.28,-0.08,30.8,-0.46,-0.29,7271.6,-0.05,-1.11,5.11,-0.16,-0.21,8.9,0.0,0.32,11.23
NPL,1963.0,4.0,0.24,0.04,0.02,-0.57,29.12,-0.15,0.38,17.53,1.12,0.86,7230.0,0.0,-0.6,5.99,-0.06,-0.27,8.07,0.5,-0.75,7.19
NWP,1963.0,4.0,0.3,-0.14,0.62,-1.08,21.18,0.41,-0.01,31.64,-0.17,1.11,7025.92,-0.07,0.14,10.7,0.07,-0.46,7.16,0.79,-0.25,9.06
SEA,1963.0,4.0,-0.19,0.35,-0.3,0.97,24.21,0.01,-0.6,51.51,-0.85,-1.45,6924.46,-0.05,-0.88,5.27,-0.04,1.22,15.39,-0.01,1.11,14.97
SPL,1963.0,4.0,-0.19,0.17,0.06,0.6,41.83,-0.15,-0.3,31.63,-1.19,-1.38,6938.33,-0.04,-0.9,5.42,-0.04,1.38,15.73,0.14,-0.18,9.29
SWP,1963.0,4.0,0.04,0.23,0.59,0.6,74.05,-0.44,0.24,21.01,-0.19,0.33,6979.25,-0.17,0.67,13.91,0.21,-0.21,8.3,-0.1,1.08,16.75
CAN,1963.0,4.0,0.13,0.1,0.73,-0.63,23.18,-0.02,0.35,26.91,-0.27,0.35,7109.77,-0.05,-0.6,7.19,-0.09,-0.26,8.73,0.37,0.16,10.33
USA,1963.0,4.0,-0.05,0.12,0.43,0.49,41.03,-0.21,-0.49,33.07,-0.52,-0.61,6977.68,-0.09,-0.21,9.04,-0.06,0.37,11.2,-0.03,0.75,12.25
USC,1963.0,4.0,0.0,0.15,0.51,0.34,36.54,-0.22,-0.37,31.26,-0.46,-0.31,7005.48,-0.08,-0.44,8.27,-0.1,0.06,10.17,0.19,0.74,11.3
ALA,1963.0,5.0,0.13,0.36,-0.27,-1.25,29.68,0.28,0.26,21.16,1.01,1.27,7047.89,0.05,-0.58,4.22,-0.27,0.26,11.82,0.1,1.04,13.65
CAR,1963.0,5.0,0.02,-0.65,,,,0.38,-1.31,5.71,,,,0.05,0.08,10.51,-0.22,-0.27,9.14,-0.04,-0.96,6.99
CEA,1963.0,5.0,-0.28,-0.68,-0.32,1.23,19.01,-0.17,-0.99,34.51,-0.75,-2.27,6949.73,0.05,0.68,13.6,-0.13,-0.58,6.8,-0.24,-0.81,6.47
CWP,1963.0,5.0,0.06,0.21,0.29,-0.33,42.69,-0.23,0.62,31.09,-0.04,0.64,6960.8,-0.14,-1.26,5.15,0.16,0.09,10.35,0.06,-1.04,6.0
MID,1963.0,5.0,0.05,-0.02,0.54,0.52,25.11,-0.08,0.33,54.44,,,,0.02,0.74,14.23,-0.12,-0.13,8.96,-0.05,-0.06,9.75
NEA,1963.0,5.0,-0.05,-0.58,0.7,0.84,16.68,0.02,-0.28,40.67,-0.95,-2.67,6795.0,-0.14,0.06,10.12,-0.04,-0.2,9.03,-0.21,-1.14,6.26
NEF,1963.0,5.0,0.05,-0.33,1.2,0.94,19.14,-0.26,-0.44,34.49,-0.47,-1.38,6913.33,-0.04,0.88,14.6,-0.16,-0.82,5.47,-0.03,0.58,11.66
NPL,1963.0,5.0,0.22,-0.61,0.02,-0.43,29.62,-0.14,-0.88,20.33,1.11,0.52,7250.0,0.03,0.99,14.74,-0.09,-0.68,5.98,0.43,-1.18,6.86
NWP,1963.0,5.0,0.27,-0.25,0.59,-1.06,21.23,0.39,-1.37,26.49,-0.17,0.14,6978.3,-0.05,-0.35,7.99,0.03,0.32,11.7,0.76,0.11,10.37
SEA,1963.0,5.0,-0.18,-0.06,-0.27,1.3,24.88,0.01,0.44,71.47,-0.85,-1.62,6959.62,-0.04,0.52,12.39,-0.02,0.67,12.86,-0.01,-0.63,7.05
SPL,1963.0,5.0,-0.19,-0.39,0.07,0.67,42.03,-0.15,-0.88,41.34,-1.2,-2.34,6905.67,-0.02,-0.31,8.61,-0.04,0.94,13.41,0.15,-1.03,6.39
SWP,1963.0,5.0,0.04,0.1,0.6,0.54,73.54,-0.45,-1.06,11.45,-0.2,-0.01,6974.13,-0.16,-1.25,4.25,0.2,0.64,12.92,-0.09,-0.77,6.22
CAN,1963.0,5.0,0.11,-0.85,0.71,-0.48,23.41,-0.01,-1.28,27.43,-0.28,-1.19,6963.52,-0.03,0.69,12.23,-0.12,-0.65,7.69,0.31,-0.79,8.54
USA,1963.0,5.0,-0.05,-0.27,0.44,0.55,41.18,-0.2,-0.52,38.03,-0.54,-1.82,6968.57,-0.07,-0.44,8.42,-0.07,0.73,11.81,-0.01,-0.98,7.97
USC,1963.0,5.0,-0.01,-0.57,0.52,0.42,36.72,-0.21,-0.83,35.22,-0.48,-1.67,6967.51,-0.06,0.09,10.01,-0.11,0.05,10.08,0.16,-1.3,8.25
ALA,1963.0,6.0,0.11,-0.33,-0.3,-1.15,30.11,0.29,0.74,28.85,1.01,1.18,7064.78,0.1,2.07,18.22,-0.33,-1.5,1.67,0.11,0.84,13.49
CAR,1963.0,6.0,0.01,-0.31,,,,0.4,-0.43,17.05,,,,0.06,0.48,11.68,-0.27,-1.18,4.09,-0.04,0.83,12.23
CEA,1963.0,6.0,-0.27,0.01,-0.29,1.59,19.65,-0.18,-0.87,35.08,-0.76,-1.3,7004.25,0.01,-0.11,9.22,-0.08,1.09,14.48,-0.29,-0.58,7.5
CWP,1963.0,6.0,0.05,-0.29,0.28,-0.37,42.44,-0.24,-0.07,23.9,-0.07,-0.12,6936.2,-0.1,0.63,12.33,0.13,-0.56,6.01,0.08,0.04,10.23
MID,1963.0,6.0,0.06,0.27,0.53,0.65,25.45,-0.11,-0.85,44.65,,,,-0.01,-0.43,7.38,-0.08,1.6,19.38,-0.06,-0.49,7.86
NEA,1963.0,6.0,-0.05,-0.46,0.73,0.63,16.33,0.01,-1.01,32.51,-0.95,-1.56,6885.0,-0.16,0.31,11.05,-0.02,-0.28,8.71,-0.23,-0.24,9.02
NEF,1963.0,6.0,0.06,0.15,1.18,1.04,19.3,-0.27,-1.04,37.38,-0.49,-1.42,6725.8,-0.09,-0.45,8.0,-0.1,1.42,16.89,-0.07,0.43,11.25
NPL,1963.0,6.0,0.23,0.22,0.02,-0.3,30.12,-0.09,0.99,45.35,1.09,0.65,7330.0,-0.01,-0.41,7.71,-0.09,-0.51,6.57,0.45,0.07,10.25
NWP,1963.0,6.0,0.24,-0.26,0.56,-1.04,21.28,0.41,-0.09,33.86,-0.18,0.4,7076.56,-0.01,0.73,12.25,-0.05,-0.98,4.01,0.71,0.85,13.03
SEA,1963.0,6.0,-0.18,0.07,-0.23,1.63,25.55,0.01,0.39,70.67,-0.87,-1.87,6972.0,-0.05,-0.19,8.72,-0.02,0.56,12.16,-0.02,-0.5,7.58
SPL,1963.0,6.0,-0.18,0.1,0.08,0.73,42.24,-0.13,0.26,53.12,-1.21,-1.96,6905.67,-0.05,-1.13,4.64,-0.05,0.46,11.94,0.16,-0.05,9.82
SWP,1963.0,6.0,0.03,-0.01,0.62,0.47,73.04,-0.44,0.11,15.21,-0.2,0.29,7022.5,-0.12,0.81,13.29,0.18,-0.77,4.75,-0.09,0.66,14.16
CAN,1963.0,6.0,0.11,-0.09,0.69,-0.33,23.64,0.03,0.12,39.29,-0.3,-0.96,6970.81,-0.06,-0.14,9.45,-0.13,-0.23,9.32,0.28,0.72,11.47
USA,1963.0,6.0,-0.05,-0.14,0.45,0.61,41.34,-0.21,-0.14,40.97,-0.55,-1.36,6998.18,-0.07,0.16,10.07,-0.08,0.07,9.77,-0.01,0.17,10.47
USC,1963.0,6.0,-0.01,-0.07,0.53,0.5,36.89,-0.2,-0.09,40.52,-0.49,-1.27,6992.42,-0.07,0.06,9.83,-0.13,-0.06,9.59,0.14,0.57,10.97
ALA,1963.0,7.0,0.11,0.09,-0.32,-1.05,30.54,0.28,0.02,33.02,1.01,1.5,7096.22,0.13,0.78,12.34,-0.35,-0.92,5.71,0.13,1.77,15.28
CAR,1963.0,7.0,-0.02,-0.09,,,,0.42,1.11,45.2,,,,0.08,0.04,10.1,-0.31,-1.2,4.61,-0.09,-0.24,9.41
CEA,1963.0,7.0,-0.26,0.01,-0.25,1.94,20.29,-0.21,-1.04,40.75,-0.76,-1.6,7005.91,0.02,0.43,11.21,-0.05,1.18,15.57,-0.31,-0.01,9.99
CWP,1963.0,7.0,0.03,-0.6,0.26,-0.4,42.18,-0.25,-0.28,11.37,-0.07,0.47,6949.2,-0.06,1.25,15.19,0.1,-1.38,2.74,0.07,-0.74,7.32
MID,1963.0,7.0,0.06,0.27,0.53,0.78,25.78,-0.15,0.02,54.21,,,,-0.04,-0.42,7.83,-0.06,-0.24,8.03,-0.05,0.36,11.45
NEA,1963.0,7.0,-0.04,-0.11,0.76,0.42,15.98,0.0,-0.43,44.67,-0.95,-0.96,6925.0,-0.17,-0.26,8.83,0.01,0.84,14.49,-0.24,-0.8,6.7
NEF,1963.0,7.0,0.06,0.32,1.17,1.14,19.47,-0.29,-0.35,43.39,-0.51,-1.12,6661.8,-0.11,-0.33,8.69,-0.06,1.41,17.35,-0.08,0.5,11.48
NPL,1963.0,7.0,0.23,0.32,0.03,-0.16,30.62,-0.09,0.7,44.36,1.09,0.55,7310.0,-0.04,-0.78,6.48,-0.07,0.56,13.0,0.42,-0.54,8.22
NWP,1963.0,7.0,0.21,0.18,0.52,-1.01,21.34,0.43,0.97,43.04,-0.16,0.4,7038.04,0.03,0.24,10.32,-0.11,-0.83,6.03,0.64,1.79,15.92
SEA,1963.0,7.0,-0.19,-0.15,-0.19,1.96,26.22,-0.02,-0.36,64.67,-0.87,-1.77,6971.69,-0.01,0.98,13.56,-0.03,-0.61,4.51,-0.03,0.86,13.33
SPL,1963.0,7.0,-0.18,0.19,0.09,0.79,42.44,-0.16,-0.24,35.49,-1.22,-1.63,6861.67,-0.08,-1.0,5.42,-0.03,0.56,12.02,0.13,0.65,12.61
SWP,1963.0,7.0,0.04,-0.13,0.64,0.41,72.54,-0.46,-2.37,11.02,-0.2,0.08,7059.63,-0.14,-0.57,7.19,0.2,0.46,10.91,-0.09,0.07,10.33
CAN,1963.0,7.0,0.09,0.24,0.67,-0.18,23.86,0.04,0.69,43.72,-0.31,-0.59,6930.4,-0.07,-0.51,8.52,-0.12,0.64,12.44,0.22,0.37,10.59
USA,1963.0,7.0,-0.06,-0.06,0.46,0.67,41.5,-0.26,-0.99,35.6,-0.55,-1.04,7007.27,-0.08,-0.13,9.24,-0.07,-0.15,8.89,-0.02,1.03,12.01
USC,1963.0,7.0,-0.02,0.08,0.54,0.58,37.07,-0.25,-0.61,37.59,-0.5,-0.94,6991.08,-0.09,-0.34,8.97,-0.12,0.23,10.22,0.1,0.89,11.3
ALA,1963.0,8.0,0.11,0.53,-0.34,-0.95,30.97,0.29,0.47,47.2,1.0,0.79,7100.44,0.15,0.71,14.5,-0.33,0.33,11.82,0.19,3.24,23.59
CAR,1963.0,8.0,-0.01,0.52,,,,0.42,-0.18,23.08,,,,0.08,-1.34,3.47,-0.29,1.21,16.16,-0.09,-0.27,9.28
CEA,1963.0,8.0,-0.27,-0.2,-0.2,2.29,20.93,-0.22,-0.46,48.0,-0.77,-1.93,6988.43,0.04,0.86,14.17,-0.06,-1.37,1.46,-0.31,1.1,14.57
CWP,1963.0,8.0,0.01,-0.58,0.25,-0.44,41.93,-0.24,-0.53,10.12,-0.09,-0.51,6925.6,-0.05,-0.65,5.91,0.07,-0.65,5.69,0.03,-2.03,1.53
MID,1963.0,8.0,0.05,-0.39,0.52,0.91,26.12,-0.16,-0.72,45.68,,,,-0.03,0.26,11.05,-0.07,-0.69,4.65,-0.05,-1.21,5.04
NEA,1963.0,8.0,-0.05,-0.34,0.78,0.21,15.63,0.0,1.39,70.81,-0.96,-1.39,6905.0,-0.15,0.67,13.41,0.0,-1.49,1.88,-0.24,-0.05,9.78
NEF,1963.0,8.0,0.05,-0.36,1.15,1.23,19.63,-0.27,0.88,50.14,-0.52,-0.75,6690.2,-0.1,0.45,12.3,-0.07,-1.38,2.35,-0.11,-1.72,4.55
NPL,1963.0,8.0,0.23,-0.02,0.03,-0.02,31.12,-0.07,-0.03,31.7,1.09,0.89,7370.0,-0.05,-1.25,2.31,-0.08,-0.13,9.3,0.36,-2.06,2.38
NWP,1963.0,8.0,0.19,-0.26,0.48,-0.99,21.39,0.4,-1.7,22.84,-0.17,-0.11,6986.56,0.02,-1.09,4.06,-0.1,0.69,14.07,0.56,-0.53,8.05
SEA,1963.0,8.0,-0.19,-0.38,-0.15,2.29,26.89,-0.03,-1.28,49.75,-0.87,-2.06,7000.85,-0.01,0.04,9.71,-0.02,0.04,9.0,-0.04,-1.22,5.73
SPL,1963.0,8.0,-0.19,-0.42,0.1,0.86,42.65,-0.16,-1.02,29.17,-1.23,-2.64,6855.0,-0.08,-1.26,4.93,-0.03,0.44,11.29,0.12,-1.42,2.91
SWP,1963.0,8.0,0.03,-0.17,0.65,0.34,72.04,-0.44,0.69,26.27,-0.23,-0.19,7078.25,-0.12,-0.11,8.99,0.16,-0.86,6.1,-0.09,-1.13,4.09
CAN,1963.0,8.0,0.08,-0.43,0.65,-0.04,24.09,0.04,-0.38,36.74,-0.32,-0.62,6912.81,-0.08,-0.8,7.09,-0.13,-0.58,7.76,0.16,-1.73,6.63
USA,1963.0,8.0,-0.07,-0.69,0.47,0.72,41.66,-0.27,-1.55,34.92,-0.58,-2.19,7007.99,-0.05,-0.17,9.22,-0.08,-0.41,8.17,-0.02,-0.88,7.72
USC,1963.0,8.0,-0.04,-0.75,0.54,0.65,37.24,-0.26,-1.64,35.38,-0.53,-1.91,6987.95,-0.07,-0.55,8.4,-0.13,-0.6,8.02,0.07,-1.57,7.18
ALA,1963.0,9.0,0.13,0.54,-0.35,-0.85,31.4,0.3,-0.27,36.91,1.01,1.5,7210.33,0.13,-0.94,2.52,-0.29,1.22,17.08,0.23,0.68,11.85
CAR,1963.0,9.0,0.0,-0.15,,,,0.42,-0.39,18.9,,,,0.09,0.19,11.13,-0.26,0.82,14.05,-0.08,-0.84,7.06
CEA,1963.0,9.0,-0.28,-0.53,-0.14,2.64,21.57,-0.23,-0.71,40.46,-0.77,-1.52,7037.27,0.08,2.1,19.31,-0.07,-1.01,2.77,-0.36,-0.5,7.88
CWP,1963.0,9.0,0.01,0.39,0.24,-0.47,41.68,-0.23,-0.08,21.94,-0.08,0.89,6996.3,-0.07,-1.32,1.26,0.11,2.42,25.05,-0.03,-1.76,2.47
MID,1963.0,9.0,0.04,-0.29,0.52,1.04,26.46,-0.18,-1.57,30.01,,,,-0.03,-0.78,5.63,-0.08,-0.38,7.93,-0.09,-1.32,4.41
NEA,1963.0,9.0,-0.06,-0.88,0.81,0.0,15.28,0.01,0.13,48.38,-0.98,-1.19,6915.0,-0.1,2.41,22.22,-0.01,-0.82,5.33,-0.27,-0.99,5.94
NEF,1963.0,9.0,0.02,-0.77,1.13,1.33,19.79,-0.31,-1.76,33.19,-0.54,-0.93,6651.8,-0.06,1.31,14.81,-0.08,-0.65,6.67,-0.15,-1.3,6.22
NPL,1963.0,9.0,0.22,0.33,0.03,0.12,31.62,-0.1,-0.8,21.9,1.08,1.12,7430.0,-0.06,-0.88,3.11,-0.04,2.09,23.29,0.3,-1.43,4.68
NWP,1963.0,9.0,0.19,0.66,0.43,-0.97,21.44,0.4,0.43,50.67,-0.15,1.12,7036.74,0.0,-1.19,2.56,-0.04,2.79,25.01,0.53,-0.61,8.16
SEA,1963.0,9.0,-0.18,0.37,-0.1,2.62,27.56,-0.04,0.14,66.59,-0.86,-0.67,7126.0,0.0,-0.09,9.34,-0.04,-0.71,4.86,-0.03,0.75,14.01
SPL,1963.0,9.0,-0.19,0.09,0.11,0.92,42.85,-0.18,-0.53,38.85,-1.24,-1.55,7071.33,-0.09,-1.47,1.89,-0.01,1.49,15.19,0.07,-1.28,4.46
SWP,1963.0,9.0,0.03,0.52,0.67,0.28,71.54,-0.43,0.79,27.04,-0.23,0.53,7130.88,-0.12,-1.32,2.32,0.17,1.35,16.38,-0.12,-1.15,4.77
CAN,1963.0,9.0,0.07,-0.13,0.63,0.11,24.31,0.01,-1.16,34.32,-0.33,-0.09,6933.42,-0.07,-0.23,8.97,-0.09,1.61,16.05,0.13,-1.5,6.55
USA,1963.0,9.0,-0.07,0.3,0.49,0.78,41.81,-0.28,-0.91,37.79,-0.57,-0.01,7093.23,-0.06,-1.52,4.58,-0.06,1.43,13.28,-0.06,-1.03,7.35
USC,1963.0,9.0,-0.04,0.17,0.56,0.73,37.42,-0.28,-1.18,36.85,-0.53,-0.05,7059.58,-0.07,-0.99,6.42,-0.09,2.12,14.44,0.02,-1.62,6.95
ALA,1963.0,10.0,0.14,0.62,-0.36,-0.75,31.83,0.3,0.74,40.34,1.02,2.32,7355.89,0.09,-0.75,3.35,-0.28,-0.15,8.55,0.25,0.81,12.53
CAR,1963.0,10.0,-0.01,0.11,,,,0.37,-1.66,2.6,,,,0.07,-1.27,2.63,-0.24,1.61,17.91,-0.09,-0.79,7.53
CEA,1963.0,10.0,-0.27,0.57,-0.08,2.99,22.22,-0.26,-1.05,35.38,-0.81,-1.47,6986.86,0.06,-0.84,4.73,-0.02,2.52,26.48,-0.38,-0.4,8.3
CWP,1963.0,10.0,0.02,0.73,0.23,-0.51,41.42,-0.22,-0.07,29.69,-0.07,1.12,7049.53,-0.07,-1.13,2.64,0.13,2.0,20.08,-0.03,0.71,13.71
MID,1963.0,10.0,0.05,0.61,0.52,1.17,26.8,-0.19,-1.65,18.99,,,,-0.04,-1.41,1.0,-0.02,3.82,39.81,-0.11,-1.72,1.18
NEA,1963.0,10.0,-0.04,0.28,0.83,-0.21,14.93,0.01,0.56,52.9,-0.98,-0.57,6975.0,-0.11,-0.29,8.31,0.04,2.48,23.36,-0.27,-0.89,6.82
NEF,1963.0,10.0,0.02,0.1,1.12,1.43,19.95,-0.35,-2.54,20.26,-0.56,-1.4,6650.4,-0.08,-1.0,3.95,-0.02,3.43,32.76,-0.17,-1.34,6.65
NPL,1963.0,10.0,0.23,0.74,0.03,0.26,32.12,-0.12,-1.37,8.95,1.09,1.2,7480.0,-0.08,-1.49,0.68,0.02,4.07,32.91,0.27,-1.2,5.33
NWP,1963.0,10.0,0.2,0.95,0.38,-0.95,21.49,0.4,0.95,59.23,-0.13,1.84,7126.24,-0.04,-1.42,1.74,-0.03,1.0,15.42,0.52,1.41,15.18
SEA,1963.0,10.0,-0.16,0.61,-0.05,2.95,28.23,-0.04,-1.04,40.75,-0.88,-0.85,7080.31,-0.01,-1.0,4.19,0.0,1.77,21.55,-0.03,-0.17,9.47
